contract,numOrgs,numPeers,numVerifiers,controller,sendRate,maxLatency,minLatency,avgLatency,tps
SC_Witness_Token_Generation,10,3,2,fix-rate#700,281.9,0.07,0.01,0.01,281.7
SC_Witness_Token_Generation,10,3,3,fix-rate#700,275.8,0.05,0.01,0.02,275.6
SC_Witness_Token_Generation,10,3,4,fix-rate#700,265.6,0.06,0.01,0.02,265.4
SC_Witness_Token_Generation,10,3,5,fix-rate#700,254.5,0.09,0.02,0.03,254.0
SC_Witness_Token_Generation,10,3,6,fix-rate#700,238.7,0.16,0.02,0.05,238.0
SC_Campaign_Token_Generation,10,3,2,fix-rate#700,281.9,0.07,0.01,0.01,283.7
SC_Campaign_Token_Generation,10,3,3,fix-rate#700,275.8,0.05,0.01,0.02,277.6
SC_Campaign_Token_Generation,10,3,4,fix-rate#700,265.6,0.06,0.01,0.02,266.4
SC_Campaign_Token_Generation,10,3,5,fix-rate#700,254.5,0.09,0.02,0.03,255.0
SC_Campaign_Token_Generation,10,3,6,fix-rate#700,238.7,0.16,0.02,0.05,240.0
SC_Verification#partial,10,3,2,fix-rate#700,180.1,0.32,0.05,0.10,179.7
SC_Verification#partial,10,3,3,fix-rate#700,
SC_Verification#partial,10,3,4,fix-rate#700,
SC_Verification#partial,10,3,5,fix-rate#700,
SC_Verification#partial,10,3,6,fix-rate#700,
SC_Verification#full,10,3,2,fix-rate#700,
SC_Verification#full,10,3,3,fix-rate#700,
SC_Verification#full,10,3,4,fix-rate#700,
SC_Verification#full,10,3,5,fix-rate#700,
SC_Verification#full,10,3,6,fix-rate#700,
SC_Token_Collection,10,3,2,fix-rate#50,49.5,90.82,0.99,30.63,29.8
SC_Token_Collection,10,3,3,fix-rate#50,40.0,62.27,0.18,38.77,26.3
SC_Token_Collection,10,3,4,fix-rate#50,24.7,74.83,0.61,42.77,23.4
SC_Token_Collection,10,3,5,fix-rate#50,26.1,78.36,10.71,44.74,22.7
SC_Token_Collection,10,3,6,fix-rate#50,22.1,81.36,15.71,48.23,20.1
SC_Initializatin,10,3,2,fix-rate#50,52.2,32.86,0.50,17.67,40.3
SC_Initializatin,10,3,3,fix-rate#50,50.2,35.71,0.20,18.23,39.1
SC_Initializatin,10,3,4,fix-rate#50,52.2,38.63,0.53,19.31,37.9
SC_Initializatin,10,3,5,fix-rate#50,52.2,40.83,0.62,20.37,36.2
SC_Initializatin,10,3,6,fix-rate#50,52.2,41.24,0.74,22.01,35.8
