env,numOrgs,numPeers,controller,sendRate,maxLatency,minLatency,avgLatency,tps
144,2,1,fix-rate#450,189.1,0.52,0.06,0.16,188.5
144,4,1,fix-rate#425,158.3,0.8,0.08,0.35,156.0
144,6,1,fix-rate#475,135.2,1.59,0.09,0.48,133
144,8,1,fix-rate#400,109.0,1.65,0.12,0.62,106.8
144,10,1,fix-rate#300,92.3,7.33,0.17,3.29,84.3
144,2,2,fix-rate#450,169.5,0.92,0.07,0.36,168.9
144,4,2,fix-rate#450,140.8,0.58,0.07,0.19,139.6
144,6,2,fix-rate#475,106.2,1.78,0.10,0.56,100.7
144,8,2,fix-rate#475,87.0,7.13,0.15,3.61,77.8
144,10,2,fix-rate#400,74.6,18.32,0.16,8.45,59.3
144,2,3,fix-rate#300,170.0,2.02,0.06,0.56,166.3
144,4,3,fix-rate#425,112.3,2.15,0.09,0.58,109.1
144,6,3,fix-rate#450,93.9,9.47,0.13,4.21,82.0
144,8,3,fix-rate#450,68.5,14.12,0.20,7.17,57.9
144,10,3,fix-rate#450,52.2,32.86,0.50,17.67,40.3
