contract,numOrgs,numPeers,numVerifiers,numTransRaw,controller,sendRate,maxLatency,minLatency,avgLatency,tps,verPerSecond,numTrans,latency
SC_Verification#partial,10,3,2,5000,fix-rate#700,1,11.96,11.96,11.96,0.1,0.002392,997260,2385.44592
SC_Verification#partial,10,3,3,5000,fix-rate#700,1,18.70,18.70,18.70,0.1,0.00374,997260,3729.7524
SC_Verification#partial,10,3,4,5000,fix-rate#700,1,26.05,26.05,26.05,0.1,0.00521,997260,5195.7246
SC_Verification#partial,10,3,5,5000,fix-rate#700,1,32.91,32.91,32.91,0.1,0.006582,997260,6563.96532
SC_Verification#partial,10,3,6,5000,fix-rate#700,1,40.80,40.80,40.80,0.1,0.00816,997260,8137.6416
SC_Verification#partial,10,3,2,10000,fix-rate#700,1,24.11,24.11,24.11,0.1,0.002411,1994520,4808.78772
SC_Verification#partial,10,3,3,10000,fix-rate#700,1,38.43,38.43,38.43,0.1,0.003843,1994520,7664.94036
SC_Verification#partial,10,3,4,10000,fix-rate#700,1,53.62,53.62,53.62,0.1,0.005362,1994520,10694.61624
SC_Verification#partial,10,3,5,10000,fix-rate#700,1,68.53,68.53,68.53,0.1,0.006853,1994520,13668.44556
SC_Verification#partial,10,3,6,10000,fix-rate#700,1,84.44,84.44,84.44,0.1,0.008444,1994520,16841.72688
SC_Verification#partial,10,3,2,15000,fix-rate#700,1,48.55,48.55,48.55,0.1,0.00323666666666667,3989040,12911.1928
SC_Verification#partial,10,3,3,15000,fix-rate#700,1,64.38,64.38,64.38,0.1,0.004292,3989040,17120.95968
SC_Verification#partial,10,3,4,15000,fix-rate#700,1,82.68,82.68,82.68,0.1,0.005512,3989040,21987.58848
SC_Verification#partial,10,3,5,15000,fix-rate#700,1,103.66,103.66,103.66,0.1,0.00691066666666667,3989040,27566.92576
SC_Verification#partial,10,3,6,15000,fix-rate#700,1,126.05,126.05,126.05,0.1,0.00840333333333333,3989040,33521.2328
SC_Verification#full,10,3,2,5000,fix-rate#700,1,24.32,24.32,24.32,0.1,0.004864,997260,4850.67264
SC_Verification#full,10,3,3,5000,fix-rate#700,1,32.29,32.29,32.29,0.1,0.006458,997260,6440.30508
SC_Verification#full,10,3,4,5000,fix-rate#700,1,52.43,52.43,52.43,0.1,0.010486,997260,10457.26836
SC_Verification#full,10,3,5,5000,fix-rate#700,1,67.88,67.88,67.88,0.1,0.013576,997260,13538.80176
SC_Verification#full,10,3,6,5000,fix-rate#700,1,83.16,83.16,83.16,0.1,0.016632,997260,16586.42832
SC_Verification#full,10,3,2,10000,fix-rate#700,1,72.51,72.51,72.51,0.1,0.007251,1994520,14462.26452
SC_Verification#full,10,3,3,10000,fix-rate#700,1,83.60,83.60,83.60,0.1,0.00836,1994520,16674.1872
SC_Verification#full,10,3,4,10000,fix-rate#700,1,107.12,107.12,107.12,0.1,0.010712,1994520,21365.29824
SC_Verification#full,10,3,5,10000,fix-rate#700,1,136.29,136.29,136.29,0.1,0.013629,1994520,27183.31308
SC_Verification#full,10,3,6,10000,fix-rate#700,1,166.78,166.78,166.78,0.1,0.016678,1994520,33264.60456
SC_Verification#full,10,3,2,15000,fix-rate#700,1,97.57,97.57,97.57,0.1,0.00650466666666667,3989040,25947.37552
SC_Verification#full,10,3,3,15000,fix-rate#700,1,128.93,128.93,128.93,0.1,0.00859533333333333,3989040,34287.12848
SC_Verification#full,10,3,4,15000,fix-rate#700,1,159.10,159.10,159.10,0.1,0.0106066666666667,3989040,42310.4176000001
SC_Verification#full,10,3,5,15000,fix-rate#700,1,207.47,207.47,207.47,0.1,0.0138313333333333,3989040,55173.7419199999
SC_Verification#full,10,3,6,15000,fix-rate#700,1,252.88,252.88,252.88,0.1,0.0168586666666667,3989040,67249.8956800001
