contract,numOrgs,numPeers,numVerifiers,rawnumTrans,numTrans,latency
SC_Verification#partial,10,3,2,2500,115750,32.546
SC_Verification#partial,10,3,3,2500,115750,48.529
SC_Verification#partial,10,3,4,2500,115750,64.614
SC_Verification#partial,10,3,5,2500,115750,68.874
SC_Verification#partial,10,3,6,2500,115750,76.783
SC_Verification#partial,10,3,2,5000,231500,94.609
SC_Verification#partial,10,3,3,5000,231500,102.826
SC_Verification#partial,10,3,4,5000,231500,128.431
SC_Verification#partial,10,3,5,5000,231500,138.232
SC_Verification#partial,10,3,6,5000,231500,147.774
SC_Verification#partial,10,3,2,10000,463000,195.354
SC_Verification#partial,10,3,3,10000,463000,204.515
SC_Verification#partial,10,3,4,10000,463000,254.296
SC_Verification#partial,10,3,5,10000,463000,289.541
SC_Verification#partial,10,3,6,10000,463000,324.586
SC_Verification#full,10,3,2,2500,115750,86.043
SC_Verification#full,10,3,3,2500,115750,101.972
SC_Verification#full,10,3,4,2500,115750,127.976
SC_Verification#full,10,3,5,2500,115750,135.326
SC_Verification#full,10,3,6,2500,115750,269.527
SC_Verification#full,10,3,2,5000,231500,195.601
SC_Verification#full,10,3,3,5000,231500,205.673
SC_Verification#full,10,3,4,5000,231500,254.684
SC_Verification#full,10,3,5,5000,231500,297.518
SC_Verification#full,10,3,6,5000,231500,327.921
SC_Verification#full,10,3,2,10000,463000,407.087
SC_Verification#full,10,3,3,10000,463000,444.416
SC_Verification#full,10,3,4,10000,463000,508.205
SC_Verification#full,10,3,5,10000,463000,582.896
SC_Verification#full,10,3,6,10000,463000,650.487
